                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5574,                0.43182,                      1,                 1.5911,              0.0001785,              0.0001785,              0.0001785
                      2,                 1.3253,                    0.5,                      1,                 1.5121,             0.00032809,             0.00032809,             0.00032809
                      3,                 1.1281,                0.47727,                      1,                 1.4822,             0.00044092,             0.00044092,             0.00044092
                      4,                  0.892,                0.40909,                      1,                  1.455,             0.00050194,             0.00050194,             0.00050194
                      5,                0.76914,                    0.5,                      1,                 1.4248,             0.00043126,             0.00043126,             0.00043126
                      6,                0.65594,                0.52273,                      1,                 1.4018,             0.00036057,             0.00036057,             0.00036057
                      7,                0.59793,                0.47727,                      1,                 1.4459,             0.00028988,             0.00028988,             0.00028988
                      8,                0.58244,                0.45455,                      1,                 1.4344,              0.0002192,              0.0002192,              0.0002192
                      9,                0.55689,                0.45455,                      1,                 1.4569,             0.00014851,             0.00014851,             0.00014851
                     10,                0.56568,                0.45455,                      1,                 1.4337,             7.7826e-05,             7.7826e-05,             7.7826e-05
